#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05206	MicroRNAs in cancer	83	159	1.12	1.18e-53	9606.ENSP00000212015,9606.ENSP00000216117,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000250405,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000258149,9606.ENSP00000260356,9606.ENSP00000260363,9606.ENSP00000262643,9606.ENSP00000262741,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264606,9606.ENSP00000264657,9606.ENSP00000264709,9606.ENSP00000265734,9606.ENSP00000266085,9606.ENSP00000267101,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000280154,9606.ENSP00000284523,9606.ENSP00000286614,9606.ENSP00000290341,9606.ENSP00000293379,9606.ENSP00000302486,9606.ENSP00000303706,9606.ENSP00000304895,9606.ENSP00000306124,9606.ENSP00000307272,9606.ENSP00000307305,9606.ENSP00000311005,9606.ENSP00000311032,9606.ENSP00000317272,9606.ENSP00000320147,9606.ENSP00000328547,9606.ENSP00000330382,9606.ENSP00000339824,9606.ENSP00000346508,9606.ENSP00000346697,9606.ENSP00000348056,9606.ENSP00000351022,9606.ENSP00000354487,9606.ENSP00000354558,9606.ENSP00000356438,9606.ENSP00000358022,9606.ENSP00000358548,9606.ENSP00000361021,9606.ENSP00000361850,9606.ENSP00000363708,9606.ENSP00000365458,9606.ENSP00000365851,9606.ENSP00000366306,9606.ENSP00000367202,9606.ENSP00000370128,9606.ENSP00000372221,9606.ENSP00000373272,9606.ENSP00000376345,9606.ENSP00000376943,9606.ENSP00000381185,9606.ENSP00000384179,9606.ENSP00000384849,9606.ENSP00000398632,9606.ENSP00000401888,9606.ENSP00000408695,9606.ENSP00000410452,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000437256,9606.ENSP00000437621,9606.ENSP00000446007,9606.ENSP00000452786,9606.ENSP00000478061,9606.ENSP00000478887,9606.ENSP00000487174,9606.ENSP00000498587	SIRT1,HMOX1,CCND1,CDKN1B,BCL2L2,KRAS,NOTCH2,PDGFRA,APC,MDM2,THBS1,KIF23,CCNE1,PIK3R3,E2F3,MAPK3,HDAC4,STAT3,DNMT3A,CDK6,TIMP3,ERBB3,TP53,ERBB2,EGFR,PDCD4,WNT3A,MMP16,IGF2BP1,ITGA5,MAP2K1,CDC25A,IRS1,PRKCE,RPTOR,DDIT4,MAPK7,CASP3,MET,EZH2,DNMT3B,PDGFB,FGFR3,PDGFA,BMF,UBE2I,TPM1,ZEB1,MTOR,PTGS2,MCL1,NRAS,PTEN,PLAU,BMPR2,HNRNPK,BMI1,SPRY2,RECK,SLC7A1,SERPINB5,TRIM71,GRB2,BCL2L11,BCL2,ZFPM2,CDKN1A,CD44,RAF1,PRKCA,STMN1,CDKN2A,BRCA1,PIK3R1,CCNE2,DICER1,HMGA2,VIM,ITGB3,MARCKS,MYC,ZEB2,NOTCH1
hsa05200	Pathways in cancer	121	515	0.77	2.62e-48	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000227163,9606.ENSP00000227507,9606.ENSP00000228682,9606.ENSP00000228872,9606.ENSP00000229135,9606.ENSP00000232424,9606.ENSP00000233146,9606.ENSP00000238682,9606.ENSP00000241453,9606.ENSP00000249373,9606.ENSP00000254958,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000258149,9606.ENSP00000258341,9606.ENSP00000262345,9606.ENSP00000262643,9606.ENSP00000262741,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000264634,9606.ENSP00000264657,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000288135,9606.ENSP00000293549,9606.ENSP00000294016,9606.ENSP00000296585,9606.ENSP00000299767,9606.ENSP00000300305,9606.ENSP00000301838,9606.ENSP00000302486,9606.ENSP00000302625,9606.ENSP00000304915,9606.ENSP00000306245,9606.ENSP00000306512,9606.ENSP00000308541,9606.ENSP00000311032,9606.ENSP00000312999,9606.ENSP00000317272,9606.ENSP00000317985,9606.ENSP00000322788,9606.ENSP00000327251,9606.ENSP00000329357,9606.ENSP00000330237,9606.ENSP00000330382,9606.ENSP00000331902,9606.ENSP00000332973,9606.ENSP00000339824,9606.ENSP00000340347,9606.ENSP00000341032,9606.ENSP00000341551,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000351490,9606.ENSP00000351905,9606.ENSP00000353654,9606.ENSP00000354394,9606.ENSP00000354558,9606.ENSP00000356438,9606.ENSP00000356694,9606.ENSP00000357470,9606.ENSP00000358548,9606.ENSP00000358851,9606.ENSP00000358918,9606.ENSP00000359424,9606.ENSP00000360058,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362082,9606.ENSP00000363318,9606.ENSP00000363822,9606.ENSP00000364979,9606.ENSP00000365230,9606.ENSP00000368880,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000376943,9606.ENSP00000379140,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000386884,9606.ENSP00000391803,9606.ENSP00000393312,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000404131,9606.ENSP00000404503,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000418915,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000433623,9606.ENSP00000437955,9606.ENSP00000447297,9606.ENSP00000448165,9606.ENSP00000469686,9606.ENSP00000478887,9606.ENSP00000481380,9606.ENSP00000493985,9606.ENSP00000495951,9606.ENSP00000497069,9606.ENSP00000497733,9606.ENSP00000498466,9606.ENSP00000498577,9606.ENSP00000498587	HMOX1,TGFB1,SPI1,CCND1,GLI1,CDKN1B,IFNG,HES1,MSH2,TGFB3,FLT3,SMO,JAG1,KRAS,NOTCH2,PDGFRA,APC,MDM2,LAMC1,IL12RB2,CCNE1,PIK3R3,E2F3,MAPK3,FGF2,WNT5A,STAT3,CDK6,RB1,FGF7,TP53,ERBB2,EGFR,WNT3A,WNT7A,FZD7,KIT,WNT1,ADCY9,ITGA2,HSP90B1,RUNX1,FADD,MAP2K1,AXIN2,IL13,FOS,CXCL8,F2,CASP3,GNAI2,MET,ROCK2,MMP1,NOS2,SP1,CASP9,PDGFB,COL4A5,SMAD3,FGFR3,TCF7,WNT7B,SMAD4,PDGFA,FN1,MAX,TGFBR2,COL4A2,STAT1,MTOR,PTGS2,FASLG,IL6R,NRAS,GSTM4,SUFU,CHUK,FRAT2,JUN,PTEN,CCND3,IL2RG,AR,COL4A1,BCL2L1,FOXO1,JAK2,GRB2,IGF1,BCL2L11,CXCL12,BCL2,CDKN1A,IL6,CXCR4,MITF,FGFR1,FGF16,RAF1,TGFA,BBC3,ESR1,PRKCA,CDKN2A,PIK3R1,CCNE2,TRAF6,HIF1A,TGFBR1,APAF1,EGLN2,MYC,CCNA2,KNG1,KITLG,IGF1R,CDC42,FAS,TPM3,NOTCH1
hsa04151	PI3K-Akt signaling pathway	82	349	0.77	4.14e-32	9606.ENSP00000225964,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000241453,9606.ENSP00000256078,9606.ENSP00000257290,9606.ENSP00000258149,9606.ENSP00000258341,9606.ENSP00000260010,9606.ENSP00000260356,9606.ENSP00000262643,9606.ENSP00000262741,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000265734,9606.ENSP00000267101,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000288135,9606.ENSP00000293379,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000299767,9606.ENSP00000302486,9606.ENSP00000304895,9606.ENSP00000307272,9606.ENSP00000307305,9606.ENSP00000317272,9606.ENSP00000317904,9606.ENSP00000324804,9606.ENSP00000325074,9606.ENSP00000327513,9606.ENSP00000330237,9606.ENSP00000330382,9606.ENSP00000331902,9606.ENSP00000339527,9606.ENSP00000339824,9606.ENSP00000342235,9606.ENSP00000344220,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000353654,9606.ENSP00000354558,9606.ENSP00000356694,9606.ENSP00000357470,9606.ENSP00000357804,9606.ENSP00000358022,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000360290,9606.ENSP00000361021,9606.ENSP00000362082,9606.ENSP00000363089,9606.ENSP00000363318,9606.ENSP00000364979,9606.ENSP00000365230,9606.ENSP00000369581,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000376943,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000387699,9606.ENSP00000393312,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000404131,9606.ENSP00000408695,9606.ENSP00000412324,9606.ENSP00000414303,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000451506,9606.ENSP00000452786,9606.ENSP00000478887,9606.ENSP00000495951,9606.ENSP00000497069	COL1A1,CCND1,CDKN1B,FLT3,KRAS,PDGFRA,MDM2,LAMC1,TLR2,THBS1,CCNE1,PIK3R3,MAPK3,FGF2,CDK6,ERBB3,FGF7,TP53,ERBB2,EGFR,KIT,ITGA5,ITGA2,COL1A2,HSP90B1,MAP2K1,IRS1,RPTOR,DDIT4,MET,GYS1,PPP2R1A,PPP2R2A,CSF1,CASP9,PDGFB,COL4A5,FOXO3,FGFR3,ERBB4,PDPK1,PDGFA,FN1,COL4A2,MTOR,FASLG,IL6R,THEM4,MCL1,NRAS,CHUK,PRKAA2,PTEN,CCND3,TLR4,IL2RG,COL4A1,BCL2L1,IFNB1,JAK2,GRB2,IGF1,BCL2L11,BCL2,CDKN1A,IL6,CREB1,FGFR1,FGF16,RAF1,TGFA,PRKCA,PPP2R5C,BDNF,BRCA1,PIK3R1,CCNE2,TCL1A,ITGB3,MYC,KITLG,IGF1R
hsa05205	Proteoglycans in cancer	58	194	0.87	5.28e-27	9606.ENSP00000215659,9606.ENSP00000221930,9606.ENSP00000222693,9606.ENSP00000225964,9606.ENSP00000227507,9606.ENSP00000242261,9606.ENSP00000249373,9606.ENSP00000256078,9606.ENSP00000258149,9606.ENSP00000260010,9606.ENSP00000260356,9606.ENSP00000262741,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000264634,9606.ENSP00000264657,9606.ENSP00000266085,9606.ENSP00000267101,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000280154,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000293379,9606.ENSP00000293549,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000302486,9606.ENSP00000311032,9606.ENSP00000317272,9606.ENSP00000317985,9606.ENSP00000341032,9606.ENSP00000342235,9606.ENSP00000344220,9606.ENSP00000346839,9606.ENSP00000354558,9606.ENSP00000356694,9606.ENSP00000358548,9606.ENSP00000361850,9606.ENSP00000363089,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000384849,9606.ENSP00000393312,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000401888,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000428056,9606.ENSP00000437955,9606.ENSP00000452786,9606.ENSP00000478887,9606.ENSP00000497069,9606.ENSP00000497733,9606.ENSP00000498466	MAPK12,TGFB1,CAV2,COL1A1,CCND1,TWIST1,SMO,KRAS,MDM2,TLR2,THBS1,PIK3R3,MAPK3,FGF2,WNT5A,STAT3,TIMP3,ERBB3,TP53,ERBB2,EGFR,PDCD4,WNT3A,WNT7A,FZD7,ITGA5,WNT1,ITGA2,COL1A2,MAP2K1,CASP3,MET,ROCK2,WNT7B,ERBB4,PDPK1,FN1,MTOR,FASLG,NRAS,PLAU,TLR4,GRB2,IGF1,CDKN1A,FGFR1,CD44,TNF,RAF1,ESR1,PRKCA,PIK3R1,HIF1A,ITGB3,MYC,IGF1R,CDC42,FAS
hsa05161	Hepatitis B	49	158	0.89	2.31e-23	9606.ENSP00000215659,9606.ENSP00000221930,9606.ENSP00000238682,9606.ENSP00000256078,9606.ENSP00000260010,9606.ENSP00000262643,9606.ENSP00000262741,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264657,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000296795,9606.ENSP00000301838,9606.ENSP00000302486,9606.ENSP00000306245,9606.ENSP00000306512,9606.ENSP00000311032,9606.ENSP00000329967,9606.ENSP00000330237,9606.ENSP00000332973,9606.ENSP00000341551,9606.ENSP00000351905,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000358548,9606.ENSP00000358997,9606.ENSP00000359424,9606.ENSP00000360266,9606.ENSP00000363089,9606.ENSP00000369581,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000387699,9606.ENSP00000398698,9606.ENSP00000401888,9606.ENSP00000408695,9606.ENSP00000410402,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000433623,9606.ENSP00000447297,9606.ENSP00000448165,9606.ENSP00000478887,9606.ENSP00000481380,9606.ENSP00000498466	MAPK12,TGFB1,TGFB3,KRAS,TLR2,CCNE1,PIK3R3,E2F3,MAPK3,STAT3,RB1,TP53,TLR3,FADD,MAP2K1,FOS,CXCL8,CASP3,TBK1,CASP9,SMAD3,SMAD4,TGFBR2,STAT1,FASLG,NRAS,IRAK1,CHUK,JUN,TLR4,IFNB1,JAK2,GRB2,BCL2,CDKN1A,IL6,CREB1,TNF,RAF1,PRKCA,MAP2K4,PIK3R1,CCNE2,TRAF6,TGFBR1,APAF1,MYC,CCNA2,FAS
hsa04010	MAPK signaling pathway	63	286	0.74	2.40e-23	9606.ENSP00000215659,9606.ENSP00000221930,9606.ENSP00000234310,9606.ENSP00000238682,9606.ENSP00000241453,9606.ENSP00000250559,9606.ENSP00000256078,9606.ENSP00000257290,9606.ENSP00000263025,9606.ENSP00000263056,9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000265354,9606.ENSP00000267101,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000288135,9606.ENSP00000288943,9606.ENSP00000298573,9606.ENSP00000302486,9606.ENSP00000306245,9606.ENSP00000311005,9606.ENSP00000311032,9606.ENSP00000317272,9606.ENSP00000320025,9606.ENSP00000327513,9606.ENSP00000330382,9606.ENSP00000339824,9606.ENSP00000342235,9606.ENSP00000346508,9606.ENSP00000349320,9606.ENSP00000351490,9606.ENSP00000351905,9606.ENSP00000356070,9606.ENSP00000356694,9606.ENSP00000358548,9606.ENSP00000358997,9606.ENSP00000359424,9606.ENSP00000360266,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000378323,9606.ENSP00000386380,9606.ENSP00000393312,9606.ENSP00000396045,9606.ENSP00000398698,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000404131,9606.ENSP00000408695,9606.ENSP00000410402,9606.ENSP00000410452,9606.ENSP00000414303,9606.ENSP00000424183,9606.ENSP00000433623,9606.ENSP00000447297,9606.ENSP00000478887,9606.ENSP00000495951,9606.ENSP00000497069,9606.ENSP00000497733,9606.ENSP00000498466	MAPK12,TGFB1,PPP3R1,TGFB3,FLT3,RAP1B,KRAS,PDGFRA,MAPK3,MAP3K8,IL1B,FGF2,SRF,ERBB3,FGF7,TP53,ERBB2,EGFR,KIT,DUSP2,DUSP16,MAP2K1,FOS,MAPK7,CASP3,MET,CACNB2,CSF1,PDGFB,FGFR3,ERBB4,PDGFA,CACNA2D1,MAX,TGFBR2,MAPKAPK2,FASLG,NRAS,IRAK1,CHUK,JUN,GRB2,IGF1,PPP3CA,IL1R1,FGFR1,PLA2G4B,TNF,FGF16,RAF1,TGFA,PRKCA,MAP2K4,STMN1,BDNF,LAMTOR3,TRAF6,TGFBR1,MYC,KITLG,IGF1R,CDC42,FAS
hsa05215	Prostate cancer	39	97	1.0	6.55e-22	9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000256078,9606.ENSP00000257290,9606.ENSP00000258149,9606.ENSP00000262643,9606.ENSP00000262741,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000302486,9606.ENSP00000330237,9606.ENSP00000330382,9606.ENSP00000340347,9606.ENSP00000344220,9606.ENSP00000346508,9606.ENSP00000354487,9606.ENSP00000354558,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000361021,9606.ENSP00000361850,9606.ENSP00000363822,9606.ENSP00000368880,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000387699,9606.ENSP00000393312,9606.ENSP00000401888,9606.ENSP00000404131,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000497069	CCND1,CDKN1B,KRAS,PDGFRA,MDM2,CCNE1,PIK3R3,E2F3,MAPK3,RB1,TP53,ERBB2,EGFR,HSP90B1,MAP2K1,CASP9,PDGFB,TCF7,PDPK1,PDGFA,ZEB1,MTOR,NRAS,CHUK,PTEN,PLAU,AR,FOXO1,GRB2,IGF1,BCL2,CDKN1A,CREB1,FGFR1,RAF1,TGFA,PIK3R1,CCNE2,IGF1R
hsa05165	Human papillomavirus infection	64	324	0.69	1.25e-21	9606.ENSP00000225964,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000232424,9606.ENSP00000254958,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000257430,9606.ENSP00000258149,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000262643,9606.ENSP00000262741,9606.ENSP00000263025,9606.ENSP00000264634,9606.ENSP00000264649,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000293379,9606.ENSP00000293549,9606.ENSP00000296585,9606.ENSP00000296795,9606.ENSP00000297268,9606.ENSP00000301838,9606.ENSP00000302486,9606.ENSP00000302625,9606.ENSP00000311032,9606.ENSP00000324804,9606.ENSP00000325074,9606.ENSP00000329967,9606.ENSP00000331902,9606.ENSP00000340347,9606.ENSP00000341032,9606.ENSP00000346839,9606.ENSP00000353654,9606.ENSP00000354394,9606.ENSP00000354558,9606.ENSP00000356438,9606.ENSP00000356694,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000361021,9606.ENSP00000362082,9606.ENSP00000364979,9606.ENSP00000368880,9606.ENSP00000369581,9606.ENSP00000376345,9606.ENSP00000384849,9606.ENSP00000387699,9606.ENSP00000398698,9606.ENSP00000401888,9606.ENSP00000412324,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000452786,9606.ENSP00000481380,9606.ENSP00000497733,9606.ENSP00000498466,9606.ENSP00000498587	COL1A1,CCND1,CDKN1B,HES1,JAG1,KRAS,NOTCH2,APC,MDM2,LAMC1,THBS1,CCNE1,PIK3R3,MAPK3,WNT5A,ATP6V0A1,CDK6,RB1,TP53,EGFR,WNT3A,WNT7A,FZD7,ITGA5,WNT1,ITGA2,TLR3,COL1A2,FADD,MAP2K1,AXIN2,CASP3,PPP2R1A,PPP2R2A,TBK1,COL4A5,TCF7,WNT7B,FN1,COL4A2,STAT1,MTOR,PTGS2,FASLG,NRAS,CHUK,PTEN,CCND3,COL4A1,FOXO1,IFNB1,GRB2,CDKN1A,CREB1,TNF,RAF1,PPP2R5C,PIK3R1,CCNE2,ITGB3,CCNA2,CDC42,FAS,NOTCH1
hsa05224	Breast cancer	45	146	0.89	1.45e-21	9606.ENSP00000227507,9606.ENSP00000232424,9606.ENSP00000254958,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000257430,9606.ENSP00000262741,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000264634,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000288135,9606.ENSP00000293549,9606.ENSP00000302486,9606.ENSP00000302625,9606.ENSP00000306245,9606.ENSP00000329357,9606.ENSP00000340347,9606.ENSP00000341032,9606.ENSP00000354558,9606.ENSP00000358548,9606.ENSP00000360058,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000384849,9606.ENSP00000393312,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000478887,9606.ENSP00000497069,9606.ENSP00000498587	CCND1,HES1,JAG1,KRAS,NOTCH2,APC,PIK3R3,E2F3,MAPK3,FGF2,WNT5A,CDK6,RB1,FGF7,TP53,ERBB2,EGFR,WNT3A,WNT7A,FZD7,KIT,WNT1,MAP2K1,AXIN2,FOS,SP1,TCF7,WNT7B,MTOR,NRAS,FRAT2,JUN,PTEN,GRB2,IGF1,CDKN1A,FGFR1,FGF16,RAF1,ESR1,BRCA1,PIK3R1,MYC,IGF1R,NOTCH1
hsa04218	Cellular senescence	44	150	0.87	2.06e-20	9606.ENSP00000212015,9606.ENSP00000215659,9606.ENSP00000217026,9606.ENSP00000221930,9606.ENSP00000227507,9606.ENSP00000234310,9606.ENSP00000238682,9606.ENSP00000256078,9606.ENSP00000256442,9606.ENSP00000258149,9606.ENSP00000262643,9606.ENSP00000262741,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000302486,9606.ENSP00000303706,9606.ENSP00000304226,9606.ENSP00000306512,9606.ENSP00000332973,9606.ENSP00000337386,9606.ENSP00000339527,9606.ENSP00000351905,9606.ENSP00000354558,9606.ENSP00000356070,9606.ENSP00000358548,9606.ENSP00000361021,9606.ENSP00000362082,9606.ENSP00000368880,9606.ENSP00000374455,9606.ENSP00000378323,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000391090,9606.ENSP00000398124,9606.ENSP00000401888,9606.ENSP00000418915,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000447297,9606.ENSP00000478887,9606.ENSP00000481380	SIRT1,MAPK12,MYBL2,TGFB1,CCND1,PPP3R1,TGFB3,KRAS,CCNB1,MDM2,CCNE1,PIK3R3,E2F3,MAPK3,CDK6,RB1,TP53,MAP2K1,CDC25A,HIPK3,CXCL8,SMAD3,ZFP36L1,FOXO3,TGFBR2,MTOR,MAPKAPK2,NRAS,PTEN,CCND3,FOXO1,SQSTM1,PPP3CA,CDKN1A,IL6,CHEK1,E2F5,RAF1,CDKN2A,PIK3R1,CCNE2,TGFBR1,MYC,CCNA2
